Title,Retail DVD Price,NEW DVD PRICE,Retail DVD UPC,Blu-ray Price,NEW BLU RAY PRICE,Blu-ray UPC
Salvador Dali: In Search of Immortality,$24.95,29.95,850021115210,n/a,,n/a
Salvo,$24.95,29.95,616892187660,n/a,,n/a
Scared of Revolution,$24.95,29.95,850003924380,n/a,,n/a
Schneider vs. Bax,$24.95,29.95,857692005963,n/a,,n/a
Sea Fog (Haemoo),$24.95,29.95,857692005765,n/a,,n/a
Seamonsters,$24.95,29.95,896137001597,n/a,,n/a
Second Coming,$24.95,29.95,857692005468,n/a,,n/a
Secrets of War,$24.95,29.95,857692005208,n/a,,n/a
Sensation,$24.95,29.95,859686006161,n/a,,n/a
Servants,$24.95,29.95,850021115333,n/a,,n/a
Seven Minutes in Heaven,$24.95,29.95,616892146667,n/a,,n/a
Sexual Drive,$24.95,29.95,850021115593,n/a,,n/a
Shadowman,$24.95,29.95,859686006499,n/a,,n/a
She Wolf,$24.95,29.95,850003924083,n/a,,n/a
Shtetlers,$24.95,29.95,,n/a,,n/a
Shun Li and the Poet,$24.95,29.95,616892185369,n/a,,n/a
Sign Painters,$24.95,29.95,616892280644,n/a,,n/a
Sin,$24.95,29.95,896137001641,n/a,,n/a
"Small, Beautifully Moving Parts",$24.95,29.95,616892184560,n/a,,n/a
Somers Town,$24.95,29.95,616892004769,n/a,,n/a
Somewhere in the Middle,$24.95,29.95,859686006086,n/a,,n/a
Song Without a Name (Canción sin nombre),$24.95,29.95,850021115005,n/a,,n/a
Soul on a String,$24.95,29.95,859686006130,n/a,,n/a
Stations of the Cross,$24.95,29.95,616892188964,n/a,,n/a
Still,$24.95,29.95,857692005291,n/a,,n/a
Still the Water,$24.95,29.95,,n/a,,n/a
Storm,$24.95,29.95,616892058465,n/a,,n/a
Styx,$24.95,29.95,850003924205,n/a,,n/a
Sucker,$24.95,29.95,857692005420,n/a,,n/a
Sweet Thing,$24.95,29.95,850021115449,n/a,,n/a
Sword of God,$24.95,29.95,850003924939,n/a,,n/a
Swung,$24.95,29.95,859686006666,n/a,,n/a
Tahara,$24.95,29.95,850021115715,n/a,,n/a
Take Me to the River,$24.95,29.95,857692005734,n/a,,n/a
